product_id,edr_volume,edr_subdir,edr_doy,edr_product,cdr_volume,cdr_subdir,cdr_doy,cdr_product,orbit_number,start_time,stop_time,start_frame,center_frame_index,n_frames_for_square_crop,sun_elevation_deg,incidence_angle_deg,center_lat_deg,center_lon_deg
M1327210646CE,LROLRC_0041B,ESM4,2019305,M1327210646CE,LROLRC_1041B,ESM4,2019305,M1327210646CC,46625,2019-11-01 01:22:59.051000+00:00,2019-11-01 01:29:01.864000+00:00,93.5,129.0,71,41.84454415343905,48.16,38.502,169.5177
M1327211014CE,LROLRC_0041B,ESM4,2019305,M1327211014CE,LROLRC_1041B,ESM4,2019305,M1327210646CC,46625,2019-11-01 01:29:06.171000+00:00,2019-11-01 01:34:22.421000+00:00,75.0,110.0,70,28.65083554281002,61.35,55.4504,171.8937
M1327211334CE,LROLRC_0041B,ESM4,2019305,M1327211334CE,LROLRC_1041B,ESM4,2019305,M1327210646CC,46625,2019-11-01 01:34:26.729000+00:00,2019-11-01 01:39:25.323000+00:00,69.5,105.0,71,15.823284993585204,74.18,70.7112,177.0545
M1327215525CE,LROLRC_0041B,ESM4,2019305,M1327215525CE,LROLRC_1041B,ESM4,2019305,M1327215170CC,46625,2019-11-01 02:44:17.189000+00:00,2019-11-01 02:52:24.126000+00:00,259.5,294.0,69,19.388088755630648,70.61,-67.5433,156.7774
M1327216016CE,LROLRC_0041B,ESM4,2019305,M1327216016CE,LROLRC_1041B,ESM4,2019305,M1327215525CC,46625,2019-11-01 02:52:28.428000+00:00,2019-11-01 02:57:51.396000+00:00,126.5,159.0,65,36.64934005294619,53.35,-46.4285,161.8946
M1327216343CE,LROLRC_0041B,ESM4,2019305,M1327216343CE,LROLRC_1041B,ESM4,2019305,M1327215525CC,46625,2019-11-01 02:57:55.699000+00:00,2019-11-01 03:06:56.918000+00:00,215.5,251.0,71,51.96973198503945,38.03,-24.1444,163.9762
M1327216889CE,LROLRC_0041B,ESM4,2019305,M1327216889CE,LROLRC_1041B,ESM4,2019305,M1327216343CC,46625,2019-11-01 03:07:01.221000+00:00,2019-11-01 03:22:01.158000+00:00,335.5,374.0,77,56.9677438313506,33.04,12.297,166.2596
M1327217793CE,LROLRC_0041B,ESM4,2019305,M1327217793CE,LROLRC_1041B,ESM4,2019305,M1327217793CC,46626,2019-11-01 03:22:05.466000+00:00,2019-11-01 03:27:32.497000+00:00,79.5,115.0,71,38.53586267151298,51.47,43.0223,168.9155
M1327218124CE,LROLRC_0041B,ESM4,2019305,M1327218124CE,LROLRC_1041B,ESM4,2019305,M1327217793CC,46626,2019-11-01 03:27:36.804000+00:00,2019-11-01 03:33:02.304000+00:00,77.0,112.0,70,25.530497907159628,64.47,59.281,171.6293
M1327218454CE,LROLRC_0041B,ESM4,2019305,M1327218454CE,LROLRC_1041B,ESM4,2019305,M1327217793CC,46626,2019-11-01 03:33:06.612000+00:00,2019-11-01 03:37:05.237000+00:00,48.0,83.0,70,13.642308276210954,76.36,73.2483,177.6659
M1327222602CE,LROLRC_0041B,ESM4,2019305,M1327222602CE,LROLRC_1041B,ESM4,2019305,M1327222168CC,46626,2019-11-01 04:42:14.743000+00:00,2019-11-01 04:49:19.993000+00:00,210.0,243.0,66,19.837204396572773,70.16,-67.0281,155.9466
M1327223032CE,LROLRC_0041B,ESM4,2019305,M1327223032CE,LROLRC_1041B,ESM4,2019305,M1327222602CC,46626,2019-11-01 04:49:24.295000+00:00,2019-11-01 04:54:48.295000+00:00,129.0,162.0,66,35.87496169740962,54.13,-47.4732,160.6587
M1327223360CE,LROLRC_0041B,ESM4,2019305,M1327223360CE,LROLRC_1041B,ESM4,2019305,M1327222602CC,46626,2019-11-01 04:54:52.598000+00:00,2019-11-01 05:02:55.598000+00:00,189.0,224.0,70,50.59677480392899,39.41,-26.6153,162.7134
M1327223847CE,LROLRC_0041B,ESM4,2019305,M1327223847CE,LROLRC_1041B,ESM4,2019305,M1327223360CC,46626,2019-11-01 05:02:59.902000+00:00,2019-11-01 05:17:57.558000+00:00,344.0,383.0,78,58.26823608104536,31.74,8.3363,164.902
M1327224749CE,LROLRC_0041B,ESM4,2019305,M1327224749CE,LROLRC_1041B,ESM4,2019305,M1327224749CC,46627,2019-11-01 05:18:01.865000+00:00,2019-11-01 05:23:53.428000+00:00,89.0,125.0,72,41.12500304171266,48.88,39.644,167.4415
M1327225105CE,LROLRC_0041B,ESM4,2019305,M1327225105CE,LROLRC_1041B,ESM4,2019305,M1327224749CC,46627,2019-11-01 05:23:57.735000+00:00,2019-11-01 05:29:17.423000+00:00,75.0,110.0,70,27.972869395950383,62.03,56.3716,169.8828
M1327225429CE,LROLRC_0041B,ESM4,2019305,M1327225429CE,LROLRC_1041B,ESM4,2019305,M1327224749CC,46627,2019-11-01 05:29:21.730000+00:00,2019-11-01 05:34:43.730000+00:00,77.0,112.0,70,14.536076090486233,75.47,72.2472,175.8547
M1327229618CE,LROLRC_0041B,ESM4,2019305,M1327229618CE,LROLRC_1041B,ESM4,2019305,M1327229224CC,46627,2019-11-01 06:39:10.634000+00:00,2019-11-01 06:46:56.384000+00:00,242.0,276.0,68,19.823562059044377,70.18,-67.0682,154.8023
M1327230088CE,LROLRC_0041B,ESM4,2019305,M1327230088CE,LROLRC_1041B,ESM4,2019305,M1327229618CC,46627,2019-11-01 06:47:00.685000+00:00,2019-11-01 06:51:44.685000+00:00,109.5,142.0,65,35.90047517198849,54.1,-47.4899,159.5778
M1327230841CE,LROLRC_0041B,ESM4,2019305,M1327230841CE,LROLRC_1041B,ESM4,2019305,M1327230376CC,46627,2019-11-01 06:59:33.918000+00:00,2019-11-01 07:14:31.574000+00:00,344.0,383.0,78,58.84898594370333,31.16,6.1909,163.6702
M1327231743CE,LROLRC_0041B,ESM4,2019305,M1327231743CE,LROLRC_1041B,ESM4,2019305,M1327231743CC,46628,2019-11-01 07:14:35.881000+00:00,2019-11-01 07:20:38.693000+00:00,93.0,129.0,72,42.53983186727469,47.46,37.7975,166.1636
